Sample,Site,Reach,Location,Replicate,Date,Dry Weight + Filter (g),Ash + Filter (g),LOI (g),Depth 1 (cm),Depth 2 (cm),Depth 3 (cm),Depth 4 (cm),Average Depth (cm),Filtered Volume (ml),Sampler Radius (cm),Sampler Area (cm2),Sampler Volume (mL),Total FBPOM (g),Total FBPOM (g/m2),FBPOC (g/m2)
FBPOC,TP,BDA,MID,3,7/8/2021,0.1814,0.1738,0.0076,39.5,39.0,37.0,38.5,38.5,40,8.750,240.53,9260.3341,1.7595,7.3150,3.80
FBPOC,TP,BDA,UPR,1,7/8/2021,0.1803,0.1755,0.0048,10.0,9.0,10.0,9.0,9.5,5,8.750,240.53,2285.0175,2.1936,9.1200,4.74
FBPOC,TP,BDA,UPR,2,7/8/2021,0.1686,0.1645,0.0041,14.5,16.0,14.0,14.0,14.6,5,8.750,240.53,3517.7243,2.8845,11.9925,6.24
FBPOC,TP,BDA,UPR,3,7/8/2021,0.1608,0.1575,0.0033,13.5,16.0,16.0,16.0,15.4,10,8.750,240.53,3698.1204,1.2204,5.0738,2.64
FBPOC,TP,REF,LWR,1,7/8/2021,0.1797,0.1671,0.0126,16.5,16.5,16.5,17.0,16.6,10,8.750,240.53,3998.7806,5.0385,20.9475,10.89
FBPOC,TP,REF,LWR,2,7/8/2021,0.1569,0.1494,0.0075,40.5,40.0,41.0,41.5,40.8,70,8.750,240.53,9801.5224,1.0502,4.3661,2.27
FBPOC,TP,REF,LWR,3,7/8/2021,0.1606,0.1509,0.0097,22.0,21.5,22.0,21.5,21.8,50,8.750,240.53,5231.4874,1.0149,4.2195,2.19
FBPOC,TP,REF,MID,1,7/8/2021,0.1742,0.1605,0.0137,15.5,13.0,14.0,14.0,14.1,20,8.750,240.53,3397.4602,2.3273,9.6756,5.03
FBPOC,TP,REF,MID,2,7/8/2021,0.1942,0.1752,0.0190,18.0,18.0,17.0,18.0,17.8,10,8.750,240.53,4269.3748,8.1118,33.7250,17.54
FBPOC,TP,REF,MID,3,7/8/2021,0.1549,0.1465,0.0084,19.0,16.5,19.0,19.5,18.5,15,8.750,240.53,4449.7709,2.4919,10.3600,5.39
FBPOC,TP,REF,UPR,1,7/8/2021,0.1676,0.1588,0.0088,27.0,25.5,26.0,27.0,26.4,50,8.750,240.53,6343.9302,1.1165,4.6420,2.41
FBPOC,TP,REF,UPR,2,7/8/2021,0.1823,0.1691,0.0132,18.0,16.5,16.0,15.0,16.4,30,8.750,240.53,3938.6486,1.7330,7.2050,3.75
FBPOC,TP,REF,UPR,3,7/8/2021,0.1421,0.1376,0.0045,9.0,12.0,13.0,12.5,11.6,100,8.750,240.53,2796.1398,0.1258,0.5231,0.27
FBPOC,LP,BDA,LWR,1,8/2/2021,0.2038,0.1477,0.0561,30.0,29.0,30.0,31.0,30.0,20,8.750,240.53,7215.8447,20.2404,84.1500,43.76
FBPOC,LP,BDA,LWR,2,8/2/2021,0.1646,0.1513,0.0133,32.0,32.5,31.0,31.5,31.8,20,8.750,240.53,7636.7690,5.0785,21.1138,10.98
FBPOC,LP,BDA,LWR,3,8/2/2021,0.1683,0.1513,0.0170,26.5,27.0,27.0,27.5,27.0,20,8.750,240.53,6494.2602,5.5201,22.9500,11.93
FBPOC,LP,BDA,MID,1,8/2/2021,0.1857,0.1640,0.0217,26.0,26.5,26.5,27.0,26.5,20,8.750,240.53,6373.9962,6.9158,28.7525,14.95
FBPOC,LP,BDA,MID,2,8/2/2021,0.1708,0.1537,0.0171,31.0,29.5,30.0,29.0,29.9,20,8.750,240.53,7185.7787,6.1438,25.5431,13.28
FBPOC,LP,BDA,MID,3,8/2/2021,0.2821,0.2242,0.0579,23.5,24.0,25.0,23.0,23.9,10,8.750,240.53,5742.6098,33.2497,138.2363,71.88
FBPOC,LP,BDA,UPR,1,8/2/2021,0.1726,0.1552,0.0174,24.5,24.5,24.5,25.0,24.6,10,8.750,240.53,5923.0059,10.3060,42.8475,22.28
FBPOC,LP,BDA,UPR,2,8/2/2021,0.1597,0.1453,0.0144,24.5,23.5,23.0,25.0,24.0,20,8.750,240.53,5772.6758,4.1563,17.2800,8.99
FBPOC,LP,BDA,UPR,3,8/2/2021,0.1770,0.1572,0.0198,17.0,17.0,17.0,18.0,17.3,10,8.750,240.53,4149.1107,8.2152,34.1550,17.76
FBPOC,LP,REF,LWR,1,8/2/2021,0.1568,0.1436,0.0132,11.0,19.0,17.5,15.0,15.6,20,8.750,240.53,3758.2525,2.4804,10.3125,5.36
FBPOC,LP,REF,LWR,2,8/2/2021,0.1727,0.1533,0.0194,24.0,25.0,22.0,24.5,23.9,20,8.750,240.53,5742.6098,5.5703,23.1588,12.04
FBPOC,LP,REF,LWR,3,8/2/2021,0.1566,0.1455,0.0111,12.0,14.0,14.5,13.0,13.4,30,8.750,240.53,3217.0641,1.1903,4.9488,2.57
FBPOC,LP,REF,MID,1,8/2/2021,0.1953,0.1678,0.0275,20.0,19.5,19.0,18.0,19.1,20,8.750,240.53,4600.1010,6.3251,26.2969,13.67
FBPOC,LP,REF,MID,2,8/2/2021,0.1545,0.1431,0.0114,15.0,14.5,14.0,15.5,14.8,20,8.750,240.53,3547.7903,2.0222,8.4075,4.37
FBPOC,LP,REF,MID,3,8/2/2021,0.1968,0.1655,0.0313,14.0,14.0,13.0,14.0,13.8,20,8.750,240.53,3307.2622,5.1759,21.5188,11.19
FBPOC,LP,REF,UPR,1,8/2/2021,0.1842,0.1636,0.0206,3.0,4.0,4.0,4.0,3.8,20,8.750,240.53,901.9806,0.9290,3.8625,2.01
FBPOC,LP,REF,UPR,2,8/2/2021,0.1555,0.1439,0.0116,8.0,5.0,6.0,9.0,7.0,30,8.750,240.53,1683.6971,0.6510,2.7067,1.41
FBPOC,LP,REF,UPR,3,8/2/2021,0.1327,0.1300,0.0027,4.0,8.0,8.0,8.0,7.0,50,8.750,240.53,1683.6971,0.0909,0.3780,0.20
FBPOC,FH,BDA,LWR,1,8/3/2021,0.2792,0.2481,0.0311,31.0,30.0,29.5,30.5,30.3,10,8.750,240.53,7275.9768,22.6283,94.0775,48.92
FBPOC,FH,BDA,LWR,2,8/3/2021,0.1333,0.1314,0.0019,8.0,8.0,7.5,9.0,8.1,10,8.750,240.53,1954.2913,0.3713,1.5438,0.80
FBPOC,FH,BDA,LWR,3,8/3/2021,0.1640,0.1538,0.0102,22.0,22.0,22.0,22.0,22.0,20,8.750,240.53,5291.6195,2.6987,11.2200,5.83
FBPOC,FH,BDA,MID,1,8/3/2021,0.2028,0.1844,0.0184,30.0,26.0,32.0,29.5,29.4,5,8.750,240.53,7065.5146,26.0011,108.1000,56.21
FBPOC,FH,BDA,MID,2,8/3/2021,0.2369,0.2080,0.0289,12.5,13.0,13.0,12.0,12.6,5,8.750,240.53,3036.6680,17.5519,72.9725,37.95
FBPOC,FH,BDA,MID,3,8/3/2021,0.1815,0.1676,0.0139,15.0,15.0,15.0,15.0,15.0,5,8.750,240.53,3607.9224,10.0300,41.7000,21.68
FBPOC,FH,BDA,UPR,1,8/3/2021,0.3402,0.1675,0.1727,28.0,27.0,26.5,27.0,27.1,20,8.750,240.53,6524.3263,56.3376,234.2244,121.80
FBPOC,FH,BDA,UPR,2,8/3/2021,0.3875,0.1522,0.2353,19.0,18.0,17.5,18.0,18.1,20,8.750,240.53,4359.5729,51.2904,213.2406,110.89
FBPOC,FH,BDA,UPR,3,8/3/2021,0.1686,0.1580,0.0106,21.0,19.0,20.0,19.5,19.9,20,8.750,240.53,4780.4971,2.5337,10.5338,5.48
FBPOC,FH,REF,LWR,1,8/3/2021,0.1656,0.1565,0.0091,11.5,10.0,13.0,12.0,11.6,100,8.750,240.53,2796.1398,0.2544,1.0579,0.55
FBPOC,FH,REF,LWR,2,8/3/2021,0.1732,0.1702,0.0030,14.0,14.0,13.5,14.0,13.9,100,8.750,240.53,3337.3282,0.1001,0.4163,0.22
FBPOC,FH,REF,LWR,3,8/3/2021,0.2389,0.1511,0.0878,13.0,13.0,12.0,14.0,13.0,20,8.750,240.53,3126.8660,13.7269,57.0700,29.68
FBPOC,FH,REF,MID,1,8/3/2021,0.1291,0.1269,0.0022,11.5,12.0,11.0,10.5,11.3,100,8.750,240.53,2705.9418,0.0595,0.2475,0.13
FBPOC,FH,REF,MID,2,8/3/2021,0.1369,0.1341,0.0028,10.0,9.0,9.5,10.0,9.6,100,8.750,240.53,2315.0835,0.0648,0.2695,0.14
FBPOC,FH,REF,MID,3,8/3/2021,0.1422,0.1382,0.0040,10.0,9.5,10.5,10.0,10.0,200,8.750,240.53,2405.2816,0.0481,0.2000,0.10
FBPOC,FH,REF,UPR,1,8/3/2021,0.1333,0.1322,0.0011,7.0,8.0,7.0,9.0,7.8,50,8.750,240.53,1864.0932,0.0410,0.1705,0.09
FBPOC,FH,REF,UPR,2,8/3/2021,0.1460,0.1418,0.0042,7.5,9.5,9.0,9.5,8.9,50,8.750,240.53,2134.6874,0.1793,0.7455,0.39
